wave,trans
8800.0,0.000000
8900.0,0.000240
9000.0,0.004738
9050.0,0.015810
9150.0,0.100373
9200.0,0.194251
9250.0,0.319989
9300.0,0.456694
9350.0,0.577322
9400.0,0.662976
9500.0,0.735081
9550.0,0.743466
9600.0,0.745941
9650.0,0.745781
9800.0,0.743891
9850.0,0.742933
9900.0,0.741869
10100.0,0.739526
10250.0,0.738488
10400.0,0.737450
10900.0,0.738967
11000.0,0.739739
11050.0,0.739367
11200.0,0.740032
11300.0,0.740351
11450.0,0.740830
11550.0,0.741549
11750.0,0.743652
11900.0,0.745701
12000.0,0.746979
12250.0,0.750812
12400.0,0.752861
12500.0,0.753607
12650.0,0.753820
12800.0,0.753394
12950.0,0.752702
13000.0,0.752622
13100.0,0.752915
13300.0,0.754671
13450.0,0.756375
13500.0,0.757200
13650.0,0.759276
13700.0,0.760261
13900.0,0.763641
14000.0,0.764307
14100.0,0.763828
14200.0,0.763801
14250.0,0.764440
14400.0,0.765212
14450.0,0.764866
14550.0,0.765371
14850.0,0.766782
15150.0,0.768645
15450.0,0.771866
15600.0,0.773197
15900.0,0.775885
16050.0,0.778839
16250.0,0.783577
16400.0,0.787224
16600.0,0.790657
16750.0,0.792760
17000.0,0.795102
17050.0,0.795848
17250.0,0.798563
17350.0,0.799521
17550.0,0.800000
17700.0,0.798403
17800.0,0.796753
17900.0,0.795661
18000.0,0.794224
18050.0,0.793718
18200.0,0.793958
18300.0,0.794756
18500.0,0.796646
18600.0,0.797445
18800.0,0.799707
19000.0,0.799787
19050.0,0.799601
19100.0,0.799707
19200.0,0.798669
19250.0,0.798297
19300.0,0.797205
19450.0,0.790977
19600.0,0.763428
19750.0,0.683551
19800.0,0.640405
19850.0,0.588821
19900.0,0.529838
19950.0,0.465345
20050.0,0.330716
20100.0,0.266356
20150.0,0.207612
20200.0,0.156375
20250.0,0.113655
20300.0,0.079611
20550.0,0.007506
20600.0,0.004152
20650.0,0.002183
20700.0,0.001118
20800.0,0.000266
20950.0,0.000027
21000.0,0.000000
